epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,455.835,1.00014,0.45257,1.14661,0.97188,0.95544,0.97606,0.67424,1.16681,0.44457,1.21126,0.000666415,0.000666415,0.000666415
2,871.159,1.05307,0.48872,1.17568,0.96894,0.94887,0.97246,0.65984,1.19648,0.46529,1.23752,0.00126709,0.00126709,0.00126709
3,1289.98,1.06874,0.50703,1.1893,0.96846,0.95071,0.97339,0.66087,1.20161,0.4634,1.28814,0.00180177,0.00180177,0.00180177
4,1693.34,1.0746,0.51116,1.19294,0.97538,0.94043,0.97199,0.64893,1.21078,0.48324,1.25337,0.001703,0.001703,0.001703
5,2099.26,1.06036,0.49687,1.18248,0.97773,0.94794,0.9771,0.67505,1.16289,0.45882,1.23411,0.001604,0.001604,0.001604
6,2505.1,1.05014,0.49028,1.18098,0.97124,0.95216,0.97326,0.67808,1.14366,0.44907,1.24927,0.001505,0.001505,0.001505
7,2910.54,1.04026,0.48176,1.17025,0.97491,0.94778,0.97698,0.66632,1.19135,0.45416,1.24688,0.001406,0.001406,0.001406
8,3317.82,1.03378,0.46885,1.17061,0.97223,0.95259,0.97777,0.69079,1.13086,0.42966,1.21587,0.001307,0.001307,0.001307
9,3739.5,1.01564,0.45681,1.15646,0.97103,0.95901,0.97917,0.68957,1.1379,0.42977,1.20787,0.001208,0.001208,0.001208
10,4174.02,1.00447,0.45011,1.1504,0.97534,0.94934,0.98009,0.6919,1.14331,0.42234,1.24842,0.001109,0.001109,0.001109
11,4614.2,0.99239,0.3884,1.16133,0.97568,0.95638,0.98026,0.68842,1.13809,0.41975,1.24108,0.00101,0.00101,0.00101
12,5050.73,0.97847,0.38161,1.14614,0.9791,0.95356,0.98029,0.69197,1.12236,0.41444,1.23135,0.000911,0.000911,0.000911
13,5469.77,0.96733,0.37422,1.13798,0.97414,0.95685,0.98107,0.69744,1.11865,0.41247,1.23549,0.000812,0.000812,0.000812
14,5878.9,0.95037,0.36214,1.12906,0.9833,0.94934,0.98157,0.69477,1.11875,0.4066,1.19878,0.000713,0.000713,0.000713
15,6284.96,0.93507,0.35356,1.10922,0.97778,0.95497,0.98186,0.70371,1.11387,0.40167,1.19324,0.000614,0.000614,0.000614
16,6690.56,0.92054,0.3464,1.10031,0.98074,0.95527,0.98181,0.70287,1.11438,0.39992,1.18254,0.000515,0.000515,0.000515
17,7093.27,0.9108,0.33902,1.10047,0.97515,0.96435,0.9829,0.70447,1.10881,0.3967,1.20039,0.000416,0.000416,0.000416
18,7496.56,0.89462,0.32928,1.08768,0.9784,0.95597,0.97996,0.71,1.10814,0.38852,1.20802,0.000317,0.000317,0.000317
19,7899.18,0.87876,0.32349,1.08084,0.97576,0.96279,0.98404,0.70537,1.10462,0.38856,1.20969,0.000218,0.000218,0.000218
20,8303.83,0.86705,0.3179,1.07862,0.9776,0.96219,0.98409,0.7072,1.11032,0.3883,1.21678,0.000119,0.000119,0.000119
