epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,935.055,1.34017,0.88413,1.3224,0.86424,0.88415,0.8673,0.46489,1.52094,0.94656,1.37077,0.000666415,0.000666415,0.000666415
2,1356.83,1.31575,0.80068,1.3282,0.93222,0.88384,0.92245,0.54848,1.43886,0.77271,1.37057,0.00128029,0.00128029,0.00128029
3,1772.76,1.27481,0.74472,1.30547,0.95883,0.8957,0.94292,0.56675,1.39241,0.69137,1.32694,0.00184137,0.00184137,0.00184137
4,2190.91,1.23757,0.69947,1.28737,0.92293,0.91557,0.9194,0.57815,1.33058,0.62861,1.30006,0.0017624,0.0017624,0.0017624
5,2606.37,1.20462,0.64478,1.26692,0.95507,0.91735,0.95295,0.62363,1.27146,0.57047,1.29406,0.0016832,0.0016832,0.0016832
6,3022.16,1.18381,0.6226,1.25656,0.96206,0.92167,0.96295,0.61384,1.33059,0.55683,1.3213,0.001604,0.001604,0.001604
7,3436.23,1.16563,0.60414,1.24322,0.97203,0.93105,0.96731,0.63534,1.26261,0.52369,1.27549,0.0015248,0.0015248,0.0015248
8,3852.51,1.14891,0.58037,1.22563,0.97091,0.93929,0.96635,0.63906,1.25365,0.51554,1.25348,0.0014456,0.0014456,0.0014456
9,4268.52,1.13335,0.55982,1.22157,0.97172,0.94841,0.97083,0.65516,1.22082,0.48916,1.24272,0.0013664,0.0013664,0.0013664
10,4684.65,1.12229,0.54864,1.2099,0.96792,0.93668,0.96714,0.64379,1.23846,0.50062,1.2703,0.0012872,0.0012872,0.0012872
11,5099.92,1.10265,0.53628,1.20679,0.9693,0.94794,0.9759,0.65884,1.20138,0.47453,1.26041,0.001208,0.001208,0.001208
12,5517.16,1.10175,0.52516,1.20304,0.96382,0.95497,0.97531,0.6593,1.20762,0.46963,1.26946,0.0011288,0.0011288,0.0011288
13,5926.28,1.08615,0.5106,1.19369,0.96938,0.9502,0.9729,0.66153,1.1946,0.45578,1.23902,0.0010496,0.0010496,0.0010496
14,6338.82,1.07854,0.50125,1.19298,0.97487,0.94622,0.97391,0.66791,1.17915,0.44532,1.24465,0.0009704,0.0009704,0.0009704
15,6755.85,1.06108,0.48946,1.1845,0.97594,0.9513,0.97718,0.669,1.18657,0.43591,1.22986,0.0008912,0.0008912,0.0008912
16,7190.48,1.05231,0.4267,1.17493,0.9648,0.95872,0.97741,0.67696,1.15913,0.43918,1.21776,0.000812,0.000812,0.000812
17,7600.41,1.0376,0.41406,1.171,0.972,0.95544,0.97946,0.6879,1.13174,0.4309,1.22028,0.0007328,0.0007328,0.0007328
18,8009.27,1.01534,0.4022,1.16834,0.97517,0.95799,0.98158,0.68456,1.15182,0.41916,1.2384,0.0006536,0.0006536,0.0006536
19,8417.69,1.00562,0.39537,1.16311,0.97225,0.95966,0.9826,0.69305,1.13434,0.41408,1.21333,0.0005744,0.0005744,0.0005744
20,8826.76,0.99435,0.38567,1.15007,0.97655,0.95695,0.98339,0.69327,1.13158,0.40986,1.20861,0.0004952,0.0004952,0.0004952
21,9233.93,0.97608,0.37386,1.13822,0.97259,0.96528,0.98375,0.69397,1.1314,0.40329,1.20755,0.000416,0.000416,0.000416
22,9646.18,0.96123,0.36537,1.12689,0.97733,0.95826,0.98242,0.69935,1.11586,0.40336,1.20091,0.0003368,0.0003368,0.0003368
23,10063.9,0.94703,0.35713,1.12211,0.97888,0.95657,0.98369,0.70449,1.11542,0.3977,1.20479,0.0002576,0.0002576,0.0002576
24,10473.3,0.93376,0.34789,1.1094,0.97379,0.95833,0.98344,0.70405,1.11262,0.4014,1.19931,0.0001784,0.0001784,0.0001784
25,10910,0.92205,0.34349,1.10252,0.9709,0.96154,0.98255,0.70288,1.1104,0.39884,1.20095,9.92e-05,9.92e-05,9.92e-05
