epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.026,1.27231,1.10803,1.16797,0.93233,0.89176,0.91843,0.50916,1.52655,0.76922,1.21347,0.000666163,0.000666163,0.000666163
2,304.45,1.26455,0.79375,1.15533,0.94028,0.90244,0.93675,0.56078,1.38953,0.71068,1.15586,0.00128005,0.00128005,0.00128005
3,468.883,1.25666,0.75639,1.15431,0.95683,0.91491,0.95009,0.58063,1.35495,0.65908,1.13666,0.00184114,0.00184114,0.00184114
4,660.395,1.21977,0.69737,1.13093,0.97087,0.92223,0.96152,0.62037,1.27717,0.59775,1.10167,0.0017624,0.0017624,0.0017624
5,837.42,1.19478,0.67,1.11614,0.96992,0.9348,0.96014,0.60855,1.31077,0.5648,1.09759,0.0016832,0.0016832,0.0016832
6,1015.98,1.17503,0.64795,1.10926,0.95735,0.93433,0.95556,0.62678,1.23548,0.55826,1.08437,0.001604,0.001604,0.001604
7,1190.84,1.15006,0.62723,1.09614,0.9731,0.93328,0.96368,0.6501,1.19995,0.52915,1.05599,0.0015248,0.0015248,0.0015248
8,1370.43,1.13482,0.60915,1.09024,0.97367,0.93662,0.96449,0.63177,1.23011,0.52439,1.07719,0.0014456,0.0014456,0.0014456
9,1548,1.1313,0.58829,1.0867,0.97466,0.93802,0.96751,0.66006,1.17622,0.50527,1.05007,0.0013664,0.0013664,0.0013664
10,1727.15,1.11364,0.57487,1.07743,0.97696,0.93902,0.97143,0.65792,1.17731,0.49139,1.03538,0.0012872,0.0012872,0.0012872
11,1906.25,1.09845,0.5579,1.071,0.96856,0.95216,0.9721,0.65288,1.19516,0.49172,1.05172,0.001208,0.001208,0.001208
12,2084.46,1.09033,0.54845,1.06588,0.96564,0.94917,0.96935,0.65782,1.18123,0.47124,1.04167,0.0011288,0.0011288,0.0011288
13,2257.79,1.08218,0.5392,1.06192,0.97018,0.94841,0.9743,0.67003,1.16132,0.45878,1.0347,0.0010496,0.0010496,0.0010496
14,2435.33,1.06828,0.52409,1.05516,0.98012,0.94559,0.97606,0.67476,1.14641,0.44129,1.03498,0.0009704,0.0009704,0.0009704
15,2604.69,1.06133,0.51641,1.05333,0.9779,0.94794,0.97415,0.68365,1.12464,0.43745,1.02177,0.0008912,0.0008912,0.0008912
16,2791.86,1.05225,0.44503,1.05174,0.98111,0.9545,0.9767,0.69134,1.11546,0.44006,1.02667,0.000812,0.000812,0.000812
17,2960,1.03116,0.43465,1.04032,0.98121,0.95519,0.97726,0.68908,1.11851,0.43752,1.0222,0.0007328,0.0007328,0.0007328
18,3126.51,1.01842,0.42148,1.0344,0.97639,0.96013,0.97737,0.69052,1.12045,0.43401,1.01968,0.0006536,0.0006536,0.0006536
19,3292.05,1.0067,0.40854,1.0281,0.98257,0.95188,0.97821,0.68993,1.12449,0.42584,1.0215,0.0005744,0.0005744,0.0005744
20,3456.71,0.9945,0.40028,1.022,0.98107,0.95169,0.98025,0.697,1.11445,0.41589,1.01272,0.0004952,0.0004952,0.0004952
21,3622.99,0.97864,0.38901,1.01554,0.97509,0.95779,0.97625,0.69651,1.11401,0.41202,1.01896,0.000416,0.000416,0.000416
22,3789.45,0.9712,0.37957,1.01446,0.98122,0.95598,0.9784,0.69692,1.11143,0.40921,1.01714,0.0003368,0.0003368,0.0003368
23,3953.22,0.95754,0.37242,1.00524,0.97999,0.95685,0.9785,0.70057,1.10898,0.40122,1.01448,0.0002576,0.0002576,0.0002576
24,4121.1,0.94689,0.36453,0.99834,0.98316,0.95834,0.98162,0.70254,1.10218,0.39865,1.01103,0.0001784,0.0001784,0.0001784
25,4286.91,0.93818,0.35789,0.99688,0.97956,0.95685,0.98016,0.70211,1.09879,0.39713,1.01237,9.92e-05,9.92e-05,9.92e-05
