epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,301.714,1.26779,1.10958,1.18082,0.92133,0.89539,0.93578,0.55727,1.39761,0.76892,1.14603,0.000399849,0.000399849,0.000399849
2,561.457,1.26397,0.78896,1.16866,0.93825,0.90508,0.93887,0.59322,1.34601,0.70694,1.13677,0.000773454,0.000773454,0.000773454
3,809.277,1.23943,0.75445,1.15721,0.96848,0.90801,0.95525,0.58749,1.36514,0.6497,1.1181,0.00112066,0.00112066,0.00112066
4,1062.6,1.21776,0.72472,1.14045,0.96001,0.92339,0.95755,0.60592,1.30951,0.6055,1.10333,0.00144146,0.00144146,0.00144146
5,1308.21,1.20539,0.69748,1.1399,0.96401,0.93199,0.95883,0.62165,1.28024,0.59105,1.08089,0.00173587,0.00173587,0.00173587
6,1555.64,1.19336,0.68038,1.12843,0.96611,0.9273,0.96083,0.62018,1.28584,0.57917,1.07564,0.00167,0.00167,0.00167
7,1815.46,1.17491,0.65465,1.11834,0.96028,0.93621,0.96172,0.63384,1.24581,0.54123,1.06323,0.001604,0.001604,0.001604
8,2046.85,1.15178,0.63325,1.10748,0.96972,0.93902,0.96616,0.64781,1.21551,0.53916,1.05092,0.001538,0.001538,0.001538
9,2287.86,1.13192,0.6165,1.09908,0.97534,0.93996,0.97112,0.66006,1.18619,0.50354,1.03823,0.001472,0.001472,0.001472
10,2535.6,1.12931,0.59934,1.09444,0.97861,0.93762,0.97248,0.65186,1.22226,0.50168,1.05431,0.001406,0.001406,0.001406
11,2779.85,1.11518,0.5877,1.08812,0.97443,0.94184,0.96692,0.65953,1.19835,0.4891,1.03731,0.00134,0.00134,0.00134
12,3027.79,1.10514,0.57932,1.08065,0.97937,0.9409,0.97351,0.65991,1.18889,0.49576,1.03611,0.001274,0.001274,0.001274
13,3275.52,1.08813,0.56445,1.07424,0.97943,0.93819,0.97213,0.66093,1.1941,0.4815,1.03763,0.001208,0.001208,0.001208
14,3519.15,1.08412,0.55359,1.07336,0.97923,0.94465,0.97338,0.67387,1.15507,0.46602,1.02618,0.001142,0.001142,0.001142
15,3759.31,1.07011,0.54602,1.06408,0.98147,0.9441,0.97323,0.67397,1.16382,0.45676,1.02334,0.001076,0.001076,0.001076
16,4001.38,1.06791,0.53536,1.06431,0.98384,0.94219,0.97572,0.68095,1.14781,0.44609,1.01956,0.00101,0.00101,0.00101
17,4243.46,1.04778,0.52139,1.05547,0.9823,0.94794,0.97592,0.68602,1.13778,0.44081,1.01359,0.000944,0.000944,0.000944
18,4489.87,1.04233,0.51062,1.05474,0.98203,0.94858,0.97653,0.68675,1.14015,0.43513,1.01805,0.000878,0.000878,0.000878
19,4732.9,1.03893,0.50713,1.04834,0.98067,0.95172,0.97706,0.69246,1.13038,0.4276,1.00946,0.000812,0.000812,0.000812
20,4977.29,1.03401,0.50181,1.04776,0.98713,0.95216,0.98054,0.69295,1.12002,0.42354,1.00904,0.000746,0.000746,0.000746
21,5234.47,1.01386,0.40954,1.01472,0.97654,0.95664,0.97945,0.693,1.11442,0.42662,1.00541,0.00068,0.00068,0.00068
22,5467.54,0.99439,0.39934,1.00605,0.98306,0.95403,0.97752,0.69288,1.11498,0.41861,1.00648,0.000614,0.000614,0.000614
23,5711.14,0.98423,0.3932,1.00116,0.98142,0.95591,0.97913,0.69727,1.11437,0.41408,1.00343,0.000548,0.000548,0.000548
24,5947.44,0.97104,0.38195,0.99407,0.98115,0.95732,0.98061,0.69756,1.10953,0.40957,1.00064,0.000482,0.000482,0.000482
25,6185.22,0.96095,0.37548,0.98881,0.98201,0.96013,0.98046,0.69866,1.10655,0.40503,0.99949,0.000416,0.000416,0.000416
26,6419.38,0.94727,0.36494,0.98371,0.9827,0.95939,0.97877,0.70154,1.10512,0.40116,0.9978,0.00035,0.00035,0.00035
27,6659.85,0.93812,0.36114,0.97874,0.98312,0.9559,0.97859,0.70259,1.10459,0.39983,0.99829,0.000284,0.000284,0.000284
28,6894.05,0.92723,0.35379,0.97706,0.98498,0.95361,0.97835,0.70424,1.10143,0.39786,0.99722,0.000218,0.000218,0.000218
29,7132.91,0.91783,0.34718,0.97154,0.98267,0.95747,0.97877,0.70364,1.10051,0.3971,0.99774,0.000152,0.000152,0.000152
30,7374,0.90779,0.34157,0.96718,0.98377,0.95591,0.9795,0.70327,1.10327,0.39674,0.99768,8.6e-05,8.6e-05,8.6e-05
